#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
0	10	1595	119	105	58	0	132	1044	30	60	0	62	26	745	45	0	76	76	69	1633	0
0	16	2686	56	53	57	0	46	1664	24	46	0	48	31	1394	33	0	69	44	43	2602	0
0	19	20	1	1	1	0	2	8	1	1	0	1	1	4	1	0	1	2	3	16	0
0	22	814	6	14	24	0	8	418	11	20	0	11	7	554	16	0	14	16	9	1066	0
0	23	4344	46	67	81	0	67	2463	26	69	0	74	32	1989	51	0	102	82	44	3896	0
0	25	3510	40	59	66	0	48	2300	24	50	0	68	38	1741	43	0	83	53	31	3054	0
0	26	14580	151	203	284	0	188	8592	100	220	0	232	93	7882	182	0	301	209	153	13901	0
0	27	24023	209	378	466	0	268	12068	176	377	0	368	148	14305	290	0	494	293	264	24045	0
0	28	10498	118	157	189	0	136	6921	77	146	0	166	80	5676	142	0	201	177	125	9224	0
0	30	76004	878	1012	1264	0	913	47862	466	1090	0	1250	584	43096	896	0	1514	1210	758	67775	0
0	31	747358	7719	9851	12662	0	9125	412137	4791	10179	0	12613	5295	389324	8847	0	14595	10322	7924	644157	0
0	33	227707	3082	4061	4128	0	2810	156328	1790	3123	0	4421	2322	162349	3286	0	4555	4051	3639	204096	0
0	34	1404701	19174	16273	29698	0	17679	951538	8587	23943	0	21672	11869	648535	18384	0	28200	24353	13027	1463703	0
1	2	1	1	1	1	55	1	1	1	1	23	1	1	1	1	30	1	1	1	1	52
1	10	1174	80	111	51	0	106	714	57	32	0	69	27	563	29	0	111	78	80	985	0
1	16	2530	28	84	65	0	44	1471	34	52	0	58	28	1450	50	0	64	55	72	2819	0
1	19	6	1	1	1	0	1	7	1	1	0	1	1	3	1	0	1	2	1	8	0
1	22	1247	14	32	23	0	10	760	16	18	0	29	10	1193	21	0	25	24	26	949	0
1	23	3461	32	54	54	0	37	1928	30	51	0	67	32	1817	51	0	101	56	28	3090	0
1	25	2902	37	37	81	0	31	1667	17	91	0	50	22	1658	89	0	61	33	32	4984	0
1	26	12899	131	175	208	0	142	6885	102	181	0	214	84	7482	135	0	233	185	145	10601	0
1	27	26922	261	428	358	0	304	13326	214	358	0	482	149	18454	232	0	526	345	318	20107	0
1	28	8172	82	115	206	0	77	4801	56	168	0	127	62	4749	187	0	162	113	89	12516	0
1	30	59243	573	860	1176	0	701	34032	447	934	0	950	420	36478	907	0	1171	860	713	64203	0
1	31	609395	5472	8751	9643	0	7131	303123	4317	8413	0	10351	3734	373120	7319	0	11688	7558	7113	540497	0
1	33	106775	939	1846	2894	0	1165	46497	730	2355	0	2083	612	72333	3044	0	2148	1182	1536	164458	0
1	34	1684263	19255	24647	29607	0	20818	1004516	12291	24842	0	26368	12230	1016263	18091	0	32746	25885	20096	1551040	0
2	2	1	1	1	1	3	1	1	1	1	3	1	1	1	1	0	1	1	1	1	1
2	10	2071	284	789	229	0	486	985	463	160	0	586	141	1435	193	0	1001	259	843	2020	0
2	16	2987	235	731	195	0	201	1737	378	137	0	192	120	2245	162	0	281	211	734	4007	0
2	19	12	2	3	2	0	2	10	2	1	0	3	1	8	1	0	1	1	3	16	0
2	22	1693	46	165	33	0	56	1026	115	17	0	52	33	1740	11	0	61	46	169	1269	0
2	23	3329	129	135	68	0	64	1961	82	47	0	73	27	1847	57	0	90	61	156	3570	0
2	25	2597	112	192	123	0	48	1625	104	100	0	52	41	1738	132	0	89	69	212	6570	0
2	26	12400	238	319	202	0	177	7123	199	166	0	250	88	7436	150	0	294	191	314	10614	0
2	27	28493	358	613	362	0	338	14893	378	346	0	457	199	19594	247	0	601	411	570	20547	0
2	28	7051	163	246	266	0	111	4528	161	232	0	125	61	4712	310	0	185	133	263	15810	0
2	30	53740	845	936	1183	0	668	32648	530	990	0	858	369	33859	1055	0	1062	841	817	70094	0
2	31	544919	6215	8263	9538	0	6345	295342	4284	8068	0	9094	3631	344827	7119	0	10319	7221	6591	528110	0
2	33	83739	780	1458	3056	0	881	38485	608	2467	0	1656	535	60649	3393	0	1711	1007	1317	179631	0
2	34	1670737	21144	25297	29824	0	20121	1073327	12659	25127	0	25858	13518	1067425	17557	0	31897	27363	19831	1564899	0
3	2	1	1	1	1	26	1	1	1	1	5	1	1	1	1	9	1	1	1	1	17
3	10	1134	75	129	67	0	135	823	63	48	0	78	30	625	41	0	168	104	123	1651	0
3	16	1740	26	71	39	0	39	1022	32	32	0	51	28	1129	26	0	56	63	48	1326	0
3	19	1193	25	43	66	0	26	847	42	54	0	39	22	772	62	0	47	41	53	3151	0
3	22	1332	19	41	27	0	21	824	27	20	0	36	15	1147	7	0	33	31	37	965	0
3	25	3001	30	49	78	0	34	1825	21	50	0	34	32	1653	65	0	41	49	38	3644	0
3	26	6037	70	87	107	0	73	3472	42	75	0	109	35	3651	55	0	128	103	61	4797	0
3	27	364	6	19	11	0	4	279	11	4	0	10	2	583	5	0	6	11	14	291	0
3	28	8046	95	132	216	0	96	4745	64	166	0	142	76	5498	183	0	144	127	122	11323	0
3	29	35	2	2	1	0	1	11	1	1	0	1	1	31	1	0	2	1	2	17	0
3	30	17166	182	284	280	0	198	10162	129	240	0	293	102	11634	182	0	348	267	214	15668	0
3	31	404	3	9	8	0	4	256	10	5	0	8	8	673	4	0	12	4	9	362	0
3	32	23559	252	386	591	0	261	13956	206	440	0	389	157	16731	493	0	452	339	319	30640	0
3	33	39922	419	568	907	0	448	25288	267	777	0	698	313	26109	796	0	766	589	522	51660	0
3	35	325359	3390	5002	7463	0	3581	196902	2494	6171	0	5546	2395	222206	6615	0	6334	5034	4469	432221	0
3	37	1899607	23672	30036	35001	0	23066	1282685	15010	28641	0	29810	15907	1274180	21268	0	36420	32424	23812	1860373	0
4	2	1	1	1	1	494	1	1	1	1	275	1	1	1	1	301	1	1	1	1	419
4	10	1112	43	100	76	0	87	766	52	54	0	74	46	563	37	0	140	94	120	1699	0
4	16	1804	21	62	52	0	30	1079	24	34	0	51	26	1090	14	0	49	73	29	1323	0
4	19	898	15	72	65	0	12	560	60	47	0	13	7	541	69	0	27	19	62	3296	0
4	22	1406	10	40	18	0	15	853	17	16	0	27	15	1162	9	0	30	25	24	904	0
4	25	3140	39	45	84	0	40	1864	25	60	0	55	24	1815	63	0	68	60	30	4122	0
4	26	6468	55	94	94	0	88	3458	44	93	0	109	49	3788	66	0	119	103	72	5273	0
4	27	384	4	12	6	0	15	259	7	6	0	7	4	510	3	0	14	9	11	283	0
4	28	7772	68	116	250	0	82	4460	58	160	0	113	49	5352	239	0	141	114	91	12098	0
4	29	30	2	2	1	0	2	7	2	1	0	1	1	24	1	0	1	1	2	15	0
4	30	18222	185	302	269	0	191	10414	136	245	0	281	125	12320	204	0	374	259	202	16637	0
4	31	467	5	17	5	0	8	236	6	5	0	9	2	669	7	0	10	7	15	366	0
4	32	24545	245	380	589	0	255	13262	197	475	0	401	157	17032	617	0	451	328	286	33496	0
4	33	42592	419	603	976	0	494	25361	340	797	0	669	273	27457	957	0	791	579	506	57278	0
4	35	344764	3328	5116	7804	0	3787	194485	2513	6494	0	5840	2325	230022	7186	0	6704	4706	4365	460346	0
4	37	1900297	23207	29421	34084	0	22705	1241210	14901	28955	0	29417	15333	1270456	20798	0	36138	30720	23781	1836960	0
5	2	1	1	1	1	18	1	1	1	1	8	1	1	1	1	12	1	1	1	1	16
5	6	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	4	1	0
5	8	36	6	12	3	0	4	40	2	3	0	1	5	71	2	0	5	9	18	106	0
5	10	715	45	43	39	0	52	585	16	25	0	37	18	455	16	0	76	80	59	887	0
5	11	294	8	12	37	0	31	141	4	21	0	25	8	87	18	0	27	13	6	691	0
5	15	34	1	1	5	0	2	34	1	2	0	1	1	76	9	0	3	2	3	213	0
5	16	200	7	23	2	0	4	141	8	2	0	6	7	279	2	0	4	12	12	80	0
5	17	1146	9	11	59	0	15	710	5	42	0	21	10	691	55	0	24	18	22	3023	0
5	18	734	12	21	12	0	16	490	11	10	0	13	15	557	9	0	15	28	11	352	0
5	19	1012	10	19	31	0	15	460	8	36	0	20	9	387	18	0	41	33	11	1099	0
5	21	65	2	7	2	0	2	61	2	1	0	2	2	178	1	0	2	4	3	25	0
5	22	87	1	8	2	0	2	85	5	1	0	2	2	141	2	0	1	3	3	17	0
5	23	1414	10	29	24	0	17	869	17	24	0	27	14	1176	15	0	37	28	24	1033	0
5	25	3445	31	58	91	0	38	1980	28	56	0	52	18	2066	68	0	68	49	45	4104	0
5	26	6020	63	75	79	0	59	3269	48	83	0	112	51	3427	59	0	143	88	44	4789	0
5	27	639	9	25	6	0	10	456	6	7	0	18	9	954	8	0	7	15	11	509	0
5	28	3037	40	59	130	0	44	2077	18	103	0	47	24	2344	149	0	58	51	45	7805	0
5	29	4623	34	65	59	0	47	2238	39	60	0	103	26	2896	27	0	73	48	46	3174	0
5	30	17184	168	265	275	0	174	10060	116	236	0	282	102	11496	204	0	353	261	204	15595	0
5	31	891	16	50	27	0	10	899	26	47	0	21	20	2009	65	0	11	21	41	2145	0
5	32	26797	250	429	572	0	287	14640	221	428	0	471	181	20457	540	0	523	338	352	31987	0
5	33	40953	385	528	897	0	455	23659	288	690	0	621	296	25388	728	0	724	557	457	50897	0
5	34	1	1	1	1	0	1	1	1	1	0	1	1	21	1	0	1	1	2	1	0
5	35	306625	3191	5040	6475	0	3394	180889	2471	5310	0	5207	2188	220985	5884	0	5841	4230	4068	374766	0
5	36	42347	423	543	1084	0	427	24058	231	868	0	746	269	25013	1015	0	874	563	505	61811	0
